epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1509,1.79939,3.25817,1.35136,0.00413,0.90625,0.11583,0.05807,1.37118,3.12099,0.93353,0.00038,0.00038,0.00038
2,14.831,1.63063,1.86184,1.17369,0.00469,0.90625,0.30032,0.14334,1.47488,2.89913,0.98265,0.000749112,0.000749112,0.000749112
3,19.2725,1.57658,1.56738,1.16212,1,0.11232,0.33691,0.20681,1.74132,2.70322,1.0833,0.00108654,0.00108654,0.00108654
4,23.1048,1.6408,1.56266,1.20411,0.49776,0.21693,0.3165,0.1775,1.45535,2.53095,0.98051,0.0013923,0.0013923,0.0013923
5,26.7719,1.67348,1.51319,1.24989,0.86267,0.58908,0.70996,0.30094,1.77426,1.86138,1.24912,0.00166637,0.00166637,0.00166637
6,31.7311,1.62361,1.39038,1.24585,0.84832,0.65625,0.69719,0.3404,1.68066,1.43056,1.29933,0.001604,0.001604,0.001604
7,35.4097,1.60404,1.30036,1.24374,0.72099,0.65625,0.70616,0.25425,1.93002,1.55912,1.39262,0.0015248,0.0015248,0.0015248
8,38.9567,1.57736,1.21984,1.25359,0.73315,0.71875,0.7564,0.38117,1.57323,1.27857,1.10261,0.0014456,0.0014456,0.0014456
9,43.7792,1.56459,1.2161,1.20214,0.89057,0.50899,0.68265,0.36685,1.6334,1.486,1.22418,0.0013664,0.0013664,0.0013664
10,47.693,1.54684,1.19543,1.2095,0.88452,0.625,0.73644,0.43156,1.51436,1.1522,1.09171,0.0012872,0.0012872,0.0012872
11,51.3186,1.52409,1.17995,1.20501,0.8739,0.53125,0.68411,0.41468,1.4491,1.16189,1.07091,0.001208,0.001208,0.001208
12,55.4125,1.44401,1.10148,1.19104,0.95317,0.63644,0.78918,0.432,1.49187,1.0928,1.08198,0.0011288,0.0011288,0.0011288
13,59.9793,1.43142,1.08662,1.19194,0.81059,0.66895,0.76029,0.43573,1.49972,1.03406,1.03966,0.0010496,0.0010496,0.0010496
14,63.9552,1.44133,1.00195,1.16529,0.85698,0.74904,0.81383,0.38089,1.68411,1.05182,1.09918,0.0009704,0.0009704,0.0009704
15,68.688,1.36898,0.98107,1.1284,0.80809,0.65799,0.81545,0.45044,1.47625,0.98831,1.04406,0.0008912,0.0008912,0.0008912
16,76.0149,1.38844,1.07777,1.16531,0.84493,0.65625,0.81524,0.45337,1.50099,1.07675,1.03453,0.000812,0.000812,0.000812
17,80.0286,1.33004,1.00494,1.16675,0.94314,0.65625,0.81461,0.4552,1.45809,0.95333,1.06573,0.0007328,0.0007328,0.0007328
18,84.2582,1.35291,1.00809,1.12971,0.8431,0.78125,0.8756,0.47701,1.46817,0.92473,1.01496,0.0006536,0.0006536,0.0006536
19,88.5804,1.24604,0.9123,1.10882,0.86072,0.8125,0.90239,0.49403,1.37782,0.89059,0.98693,0.0005744,0.0005744,0.0005744
20,92.2855,1.32979,0.94179,1.08911,0.96238,0.79977,0.88103,0.45903,1.53148,0.84202,1.01268,0.0004952,0.0004952,0.0004952
21,95.7816,1.30263,0.91032,1.0951,0.84124,0.84375,0.88927,0.4922,1.4083,0.8059,0.97757,0.000416,0.000416,0.000416
22,101.026,1.24276,0.83698,1.08122,0.96072,0.76467,0.88849,0.49732,1.37311,0.78488,0.97312,0.0003368,0.0003368,0.0003368
23,104.675,1.25108,0.83917,1.08717,0.86599,0.84375,0.88952,0.50941,1.32284,0.7553,0.95596,0.0002576,0.0002576,0.0002576
24,108.284,1.19796,0.83882,1.06416,0.89239,0.84375,0.89729,0.49702,1.36813,0.74633,0.96592,0.0001784,0.0001784,0.0001784
25,112.452,1.17487,0.8103,1.05935,0.91535,0.84375,0.86975,0.5005,1.37779,0.74705,0.96537,9.92e-05,9.92e-05,9.92e-05
