epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.7429,0.82917,3.88181,0.95053,0.70142,0.6727,0.76503,0.63556,0.68634,1.54392,0.94155,9.50479e-05,9.50479e-05,9.50479e-05
2,145.78,0.72042,1.28943,0.91421,0.99687,0.99946,0.995,0.84117,0.64052,0.51452,0.90324,0.000182842,0.000182842,0.000182842
3,216.258,0.67282,0.75523,0.88942,0.99669,1,0.995,0.84574,0.62909,0.42003,0.89524,0.000263086,0.000263086,0.000263086
4,282.884,0.65492,0.64006,0.88024,0.99766,0.99928,0.995,0.84798,0.62498,0.37313,0.88947,0.000252023,0.000252023,0.000252023
5,350.015,0.6426,0.58817,0.87501,0.99865,0.99993,0.995,0.85421,0.61909,0.36165,0.88717,0.000240698,0.000240698,0.000240698
6,415.428,0.63725,0.56632,0.87452,0.99901,1,0.995,0.84977,0.62044,0.34812,0.88624,0.000229372,0.000229372,0.000229372
7,478.379,0.63416,0.54614,0.87371,0.99903,1,0.995,0.85047,0.61745,0.3407,0.88654,0.000218046,0.000218046,0.000218046
8,544.345,0.62902,0.53326,0.86947,0.99859,1,0.995,0.85371,0.61277,0.33713,0.88384,0.000206721,0.000206721,0.000206721
9,607.581,0.62339,0.51621,0.86978,0.99835,1,0.995,0.85306,0.61314,0.32464,0.88302,0.000195395,0.000195395,0.000195395
10,669.994,0.62295,0.50957,0.86998,0.99864,1,0.995,0.85517,0.60983,0.31784,0.88128,0.00018407,0.00018407,0.00018407
11,732.449,0.61889,0.49464,0.86716,0.99889,1,0.995,0.85456,0.60865,0.30952,0.88302,0.000172744,0.000172744,0.000172744
12,795.284,0.61582,0.48409,0.86708,0.999,0.99991,0.995,0.85424,0.60909,0.30911,0.88398,0.000161418,0.000161418,0.000161418
13,857.569,0.61626,0.47285,0.8679,0.99904,0.99998,0.995,0.85709,0.60703,0.30037,0.88296,0.000150093,0.000150093,0.000150093
14,919.456,0.60972,0.45776,0.86711,0.99907,1,0.995,0.85138,0.61013,0.29782,0.88439,0.000138767,0.000138767,0.000138767
15,982.694,0.61315,0.45114,0.86732,0.99898,0.99984,0.995,0.85447,0.60627,0.30078,0.88212,0.000127442,0.000127442,0.000127442
16,1046.29,0.58247,0.36031,0.85963,0.99938,1,0.995,0.85253,0.60948,0.29585,0.88338,0.000116116,0.000116116,0.000116116
17,1108.07,0.57956,0.34527,0.85823,0.99918,1,0.995,0.85647,0.60816,0.28642,0.88264,0.00010479,0.00010479,0.00010479
18,1168.32,0.57722,0.33572,0.85816,0.99925,1,0.995,0.85394,0.60455,0.27953,0.88126,9.34648e-05,9.34648e-05,9.34648e-05
19,1229.51,0.57515,0.32931,0.85486,0.99928,1,0.995,0.85564,0.6039,0.27468,0.88078,8.21392e-05,8.21392e-05,8.21392e-05
20,1292.93,0.57437,0.32305,0.8543,0.99939,1,0.995,0.85604,0.60402,0.26882,0.8811,7.08136e-05,7.08136e-05,7.08136e-05
21,1354.49,0.57188,0.31852,0.85457,0.99923,1,0.995,0.85594,0.60334,0.26748,0.88092,5.9488e-05,5.9488e-05,5.9488e-05
22,1415.67,0.57011,0.31422,0.85342,0.99925,1,0.995,0.85696,0.60087,0.26534,0.88029,4.81624e-05,4.81624e-05,4.81624e-05
23,1475.34,0.57009,0.31072,0.85169,0.99934,1,0.995,0.8578,0.60054,0.26218,0.87952,3.68368e-05,3.68368e-05,3.68368e-05
24,1538.88,0.56725,0.30655,0.85158,0.99939,1,0.995,0.85765,0.60072,0.25879,0.88002,2.55112e-05,2.55112e-05,2.55112e-05
25,1600.03,0.56677,0.30267,0.85263,0.99938,1,0.995,0.85796,0.5997,0.25829,0.87925,1.41856e-05,1.41856e-05,1.41856e-05
